CNPJ/CPF,Incentivador,ESPORTE (Valor que pode aportar/ ano),CULTURA (valores aportados 2016),
2608755000107,"IREP Sociedade de Ensino Superior, Médio e Fundamental Ltda.","325441,66","1301766,62",
2038232000164,Banco Cooperativo do Brasil S.A,"325052,01","1300208,03",
2332886000104,XP Investimentos CCTVM S.A,325000,1300000,
28152650000171,Espírito Santo Centrais Elétricas S/A - ESCELSA,324500,1298000,
92802784000190,Companhia Riograndense de Saneamento - CORSAN,"316715,77","1266863,08",
76543115000194,Banco Bamerindus do Brasil S.A.,"311924,98","1247699,91",
4089570000150,Águas Guariroba S.A.,"310871,15","1243484,59",
19749539000176,VERDE ASSET MANAGEMENT S.A.,309750,1239000,
90050238000114,Tramontina S.A  - Cutelaria,309250,1237000,
6980064000182,Nacional Gás Butano Distribuidora Ltda.,308750,1235000,
4100556000100,Tractebel nergia Comercializadora Ltda.,305000,1220000,
43461789000190,Química Amparo Ltda.,"304704,13","1218816,5",
2750988000131,Termo Norte - Energia Ltda,300500,1202000,
7658098000118,Qualicorp Administradora de Beneficios Ltda,300000,1200000,
1166430000140,UGB PARTICIPACOES S.A.,300000,1200000,
76538446000217,HSBC SEGUROS (BRASIL) S.A.,300000,1200000,
2417464000123,Renovias Concessionárias S/A,300000,1200000,
20346524000146,Rio Paracatu Mineração S/A,"299976,07","1199904,26",
19378769000176,Instituto de Patologia Clínica H. Pardini Ltda,"299277,5",1197110,
360305000104,Caixa Econômica Federal,298000,1192000,
52312907000190,"BANESPA S.A Serviço Técnicos, Administrativos e de Corretagem de Seguros",295500,1182000,
42278473000103,Fenae Corretora de Segs e Adm Bens S/A,"295029,44","1180117,77",
4169215000191,Petróleo Sabbá S.A,294750,1179000,
61533584000155,BANCO SOCIETE GENÉRALE BRASIL S.A,292500,1170000,
1222069000122,Companhia Securitizadora de Créditos Financeiros Rubi,288750,1155000,
30069314000101,AUTO AVIAÇÃO 1001 LTDA,288625,1154500,
19749561000116,VERDE SERVICOS INTERNACIONAIS S.A.,285250,1141000,
2992446000175,Banco CNH Capital / New Holland Brasil,282500,1130000,
42278796000199,CELULOSE NIPO-BRASILEIRA S/A,"275072,47","1100289,88",
16513178000176,Unimed BH Cooperativa de Trabalho Médico Ltda,"274800,59","1099202,35",
88379771000182,Calçados Beira Rio S/A.,272500,1090000,
61190096000192,Eurofarma Laboratórios Ltda.,270000,1080000,
92934215000106,Banrisul Serviços Ltda,268750,1075000,
43035146000185,Protege S/A - Proteção e Transporte de Valores,"267741,5",1070966,
59179838000137,Pirelli Pneus Ltda,"264568,75",1058275,
7682638000107,VIAQUATRO - Concessionária da linha 4 do metrô de São Paulo S.A.,260050,1040200,
4402277000100,BIC Amazônia S/A,258750,1035000,
76189406000126,Condor Super Center Ltda.,257500,1030000,
61412110000155,Drogaria São Paulo Ltda,257000,1028000,
2286479000108,Total Fleet S/A,256250,1025000,
60688256000165,STDV Holding S/A,256173,1024692,
3207703000183,Concessionária de Rodovias do Interior Paulista S.A,254177,1016708,
2998611000104,CTEEP - Companhia de Transmisão de Energia Eletrica Paulista,250000,1000000,
461479000163,Prevent Senior Private Operadora de Saúde Ltda.,250000,1000000,
58503129000100,Tempo Serviços Ltda.,250000,1000000,
72300122000104,Companhia de Gas do Estado do Rio Grande do Sul ,"247765,75",991063,
6057223000171,Sendas Distribuidora S/A,241430,965720,
9811654000170,Acumuladores Moura S.A ,241160,964640,
48122295002572,FMC TECHNOLOGIES DO BRASIL LTDA. ,"239471,6","957886,4",
91235549000110,Vonpar Refrescos S.A,238500,954000,
7047251000170,Companhia Energética do Ceará - Coelce,237185,948740,
4237975000199,Ceran Companhia Energetica Rio das Antas,"235953,23","943812,9",
9470650000175,Quixaba Empreendimentos e PArticipações Ltda.,235000,940000,
33931494000187,Cia Coreano Brasileira de Pelotização - Kobrasco,"234970,5",939882,
3025305000146,Rodovias das Colinas S/A,"233810,82","935243,28",
2180133000112,Itaú Rent Adminstração e Participações S/A,"233038,75",932155,
61602199000112,Companhia Ultragaz S/A,231500,926000,
90347840000118,Thyssenkrupp Elevadores ,230000,920000,
86864543000172,Companhia de Gás de Santa Catarina,"228551,76","914207,05",
46567202000110,Anglo American Fosfatos Brasil Ltda.,"228097,72","912390,89",
4088208000165,CGMP- Centro de Gestão de Meios de Pagamentos S.A ,227500,910000,
1180000207,Centrais Elétricas Brasileiras S/A - ELETROBRÁS,226900,907600,
71304687000105,Pedra Agroindustrial S.A.,"226882,08","907528,33",
8402943000152,Guararapes Confecções S/A,225000,900000,
44330975000153,Usina Colombo S/A - Açucar e Álcool,225000,900000,
30902142000105,Safra Vida e Previdência S.A.,225000,900000,
45070190000151,Cebrace - Cia Brasileira de Cristal,224500,898000,
53009825000133,Usina Alta Mogiana S/A. Açucar e Álcool,"224320,5",897282,
1181521000155,Banco Cooperativo SICREDI S.A,"221811,51","887246,02",
4416935000104,Empresa Amazonense de Trasmissão de Energia S.A,221250,885000,
17155730000164,Companhia Energética de Minas Gerais - CEMIG,220750,883000,
74267170000173,Icatu-Hartford Capitalização S/A,"216794,25",867177,
5669128000166,GAVEA INVESTIMENTOS LTDA ,215000,860000,
14796754000104,BTG PACTUAL COMMODITIES S.A,"209767,38","839069,53",
4862600000110,Portoseg S/A - Crédito Financiamento e Investimento,"208424,25",833697,
1378407000110,Aliança do Brasil Seguros S/A,208100,832400,
3095453000137,BB MAPFRE SH1 PARTICIPACOES S/A ,207925,831700,
88212113000100,Comércio de Medicamentos Brair,207000,828000,
33311713000125,Itaú Distribuidora de Títulos e Valores Mobiliários S.A,205000,820000,
44074367000125,McKinsey & Company - Inc. do Brasil Consultoria Ltda ,203750,815000,
63554067000198,Hapvida Assistência Médica Ltda.,201250,805000,
67003673000176,"Mattos Filho, Veiga, Marrey Jr. e Quiroga Advogados","200492,9","801971,61",
27063874000144,Companhia Italo Brasileira de Petrolização - Itabrasco,"200340,25",801361,
2270689000108,Repsol YPF Brasil S.A,200000,800000,
62182092000125,ARYSTA LIFESCIENCE DO BRASIL INDÚSTRIA QUIMÍCA E AGROPECUÁRIA LTDA,200000,800000,
4712500000107,MICROSOFT DO BRASIL IMPORTACAO E COMERCIO DE SOFTWARE E VIDEO GAMES LT,200000,800000,
16676520000159,Hospital Mater Dei S.A.,200000,800000,
33448150000111,Azul Companhia de Seguros Gerais,200000,800000,
1023570000160,Banco Rabobank Internacional Brasil S/A,"198736,59","794946,36",
60882628000190,Confab Industria S/A,197295,789180,
2555926000179,Centrovias Sistema Rodoviários S.A,194226,776904,
2509186000134,Triângulo do sol Auto-Estradas S/A,"193298,9","773195,58",
51784262000125,Peróxidos do Brasil Ltda.,192500,770000,
4973790000142,CPFL Comercialização Brasil Ltda.,"191675,05","766700,18",
3007331000141,EBAZER.COM.BR.LTDA,191250,765000,
12253691000114,COPART 4 Participações S/A,"190997,75",763991,
63310411000101,Três Corações Alimentos S.A.,"189987,5",759950,
50991421000108,Alvorada Serviços e Negócios Ltda,"189004,75",756019,
2016439000138,Rio Grande Energia S/A,188250,753000,
1917818000136,Light Energia S.A,187500,750000,
6626253000151,Empreendimentos Pague Menos S/A.,187500,750000,
22931380000110,V & M Mineração Ltda.,187350,749400,
33349473000158,Farmoquimica S/A,187200,748800,
24380578000189,WHITE MARTINS GASES INDUSTRIAIS DO NORDESTE S/A,187000,748000,
48066047000184,Imprensa Oficial do Estado - IMESP,186750,747000,
10971907000151,FS SECURITY SERVICOS DE TECNOLOGIA LTDA ,186250,745000,
17227422000105,Gerdau Açominas S.A,185000,740000,
45762077000137,"Machado, Meyer, Sendacz e Opice Advogados",182125,"728499,99",
2194588000197,BAIN BRASIL LTDA,181500,726000,
9110880000123,  GERA MARANHÃO - GERADORA DE ENERGIA DO MARANHÃO S/A,"181141,46","724565,83",
33164021000100,Tokio Marine Seguradora S.A.,179500,718000,
7280328000158,Usina Iacanga de Açucar Alcool S.A.,"177941,95","711767,8",
53943098000187,LWARCEL CELULOSE E PAPEL,177500,710000,
45246402000109,"Center Norte S/A - Construção, Empreendimentos, Administração e Participação","176830,85","707323,39",
54612650000117,ESSILOR da Amazônia Industria e Comércio Ltda.,175000,700000,
11315117000180,"Lightcom Comercializadora de Energia S.A. _x000D_
_x000D_
",175000,700000,
5607427000257,HSBC VIDA E PREVIDENCIA (BRASIL) S.A.,175000,700000,
61074506000130,Belgo  Bekaert Arames S.A,"174910,75",699643,
7081467000152,Itumbiara Transmissora de Energia Ltda.,"174513,89","698055,56",
61809182000130,Credit Suisse Hedging - Griffo Corretora de Valores S/A ,173625,694500,
60241809000137,HSBC (Brasil ) Administradora de Consórcio Ltda.,173000,692000,
7175725000160,Weg Equipamentos Elétricos S/A,171250,685000,
1335341000180,Portonave Terminais Portuários S/A,"170939,15","683756,6",
45992062000165,Nature`s Plus Farmacêutica Ltda.,170829,683316,
2189924000103,Deloitte Touche Tohmatsu Consultores Ltda,"169128,73","676514,92",
17359233000188,Tecidos e Armarinhos Miguel Bartolomeu S.A - TAMBASA,168000,672000,
3936815000175,ATLANTICA EXPORTACAO E IMPORTACAO LTDA,166229,664916,
94845674000130,Refinaria de Petróleo Riograndense S/A,165000,660000,
48102552000137,AON Holdings Corretores de Seguros Ltda,164500,658000,
2836056000106,DHL Logistics (Brasil) Ltda,164250,657000,
17167412000113,"Financeira Alfa S.A - Crédito, Financiamento e Investimentos",163500,654000,
6995362000146,COMPANHIA PAULISTA DE PARCERIAS - CPP ,162500,650000,
16328932000106,HALLIBURTON PRODUTOS LTDA. ,162500,650000,
1799935000142,Mime Distribuidora de Petróleo Ltda,162000,648000,
33112152000135,Saveiros Camuyrano Serviços Marítimos S.A.,160008,640032,
34028316003129,Empresa Brasileira de Correios e Telégrafos,159090,636360,
35820448000136,White Martins Gases Industriais Ltda.,157500,630000,
10573521000191,MERCADOPAGO.COM REPRESENTAÇÕES LTDA,156250,625000,
5321987000160,Empresa Norte de Transmissão de Energia S.A,155000,620000,
62461140000548,Lua Nova Ind. e Com. de Prod. Alimentícios Ltda.,"154997,5",619990,
33352394000104,Companhia Estadual de Águas e Esgotos do Rio de Janeiro,"154646,75",618587,
1730520000112,Ingredion Brasil Ingredientes Industriais Ltda.,153425,613700,
8427540000168,MARSELHA HOLDINGS LTDA.,152500,610000,
61366936000125,Ernst & Young Auditores Independentes S.C. Ltda,"151844,3","607377,18",
23643315000152,Danone Ltda.,151785,607140,
42283770000139,Icatu Hatford Seguros S/A,"151139,25",604557,
3420926000205,Global Village Telecom Ltda.,150750,603000,
1522368000182,Banco BNP Paribas Brasil S.A,"150640,75",602563,
4029601000188,Energest,"150136,83","600547,32",
56998982000107,Bristol Muers Squibb Brasil S.A,150000,600000,
7207996000150,Banco Bradesco Financiamentos S.A.,150000,600000,
62462015000129,Apsen Farmaceutica S/A,150000,600000,
33041260065290,Via Varejo S.A.,150000,600000,
34432153000120,Companhia de Gás da Bahia - Bahiagás,150000,600000,
54470679000101,Usina Batatais S/A - Açúcar e Alcool,150000,600000,
49156326000100,Syngenta Seeds Ltda,150000,600000,
59438325000101,Banco Bradesco Cartões S.A.,150000,600000,
22301988000161,TP INDUSTRIAL DE PNEUS BRASIL LTDA. ,150000,600000,
4902979000144,Banco da Amazônia S.A.,150000,600000,
42445403000194,Mineração Serra Grande S/A,150000,600000,
7089298000105,Estreito Energia S.A.,150000,600000,
33033028000184,Kraft Foods Brasil S.A,150000,600000,
52191806000108,Sercom Comércio e Serviços Ltda.,150000,600000,
1438784000105,Leroy Merllin Cia. Brasileira de Bricolagem,149750,599000,
47193149000106,Santander Leasing S.A. Arrendamento Mercantil,148750,595000,
7764215000128,Atlas Brasil Calçados Ltda.,145000,580000,
11137051000186,INTERBELLE COMERCIO DE PRODUTOS DE BELEZA LTDA,145000,580000,
52541760000100,Cerâmica e Velas de Ignição NKG do Brasil Ltda,"143987,5",575950,
89674782000158,Jonh Deere Brasil Ltda,143750,575000,
7522191000109,Rip Serviços Industriais Ltda,"143642,6","574570,4",
75263400000199,Nortox S.A,142500,570000,
55064562000190,Máquinas Agrícolas Jacto S.A ,142500,570000,
7237373000120,Banco do Nordeste do Brasil S.A,"141593,51","566374,04",
38486817000194,Banco de Desenvolvimento de Minas Gerais SA,"141424,16","565696,65",
3984862000194,VOTENER-VOTORANTIM COMERCIALIZADORA DE ENERGIA LTDA.,140125,560500,
2853076000195,"Barbosa, Mussnich e Aragão - Advogados",140000,560000,
2001597000114,Gelnex Industria e Comercio Ltda.,"139481,5",557926,
28944734000148,Fábrica Carioca de Catalizadores S/A,"139299,5",557198,
359877000173,Companhia Imobiliária de Brasília - TERRACAP,"138854,17","555416,66",
48109110000112,"Tozzini, Freire, Teixeira e Silva - Advogados",137500,550000,
10866788000177,Banco de Pernambuco S.A - Bandepe,137500,550000,
4487255000181,Unimed Seguros Saúde S/A,137500,550000,
4033993000159,ExxonMobil Business Support Center Brasil Ltda,136565,546260,
4622116000113,CTBC Multimídia Ltda,"136333,35","545333,4",
61413282000143,Lorenzetti S.A - Indústrias Brasileiras Eletrometalúrgicas,136000,544000,
34597955000190,White Martins Gases Industriais do Norte S.A.,136000,544000,
974211000125,Linha Amarela S.A,"135868,75",543475,
78908266000124,Mili S/A,135750,543000,
644907000193,Investco S.A.,133750,535000,
71322150000160,Savegnago Supermercados Ltda,132575,530300,
1838723000127,BRF S/A,132500,530000,
61472205000164,Ibac Indústria Brasileira de Alimentos e Chocolates Ltda.,132500,530000,
61550141000172,Liberty Seguros S.A,132500,530000,
78937158000180,Fertilizantes Piratini Ltda,131750,527000,
13009717000146,Banco do Estado de Sergipe S/A,131500,526000,
28127603000178,Banestes S.A - Banco do Estado do Espirito Santo,"131423,69","525694,75",
29739737004108,ELEVADORES OTIS LTDA,"130746,56","522986,25",
90810706000101,Fertipar - Fertilizantes do Paraná Ltda.,130000,520000,
46395687000102,Bahiana Distribuidora de Gás Ltda.,"129771,59","519086,36",
61150348000150,Companhia Nitro Química Brasileira,"128888,25",515553,
4100850000112,Expansion Transmissão de Energia Elétrica S/A,"127054,76","508219,04",
29980158000157,HDI Seguros S.A.,"126433,25",505733,
7019308000128,Diamond Business Trading S/A,125875,503500,
3017677000120,Banco J. Safra S.A,125000,500000,
8324196000181,Companhia Energética do Rio Grande do Norte - COSERN,125000,500000,
9509531000189,ACBZ IMPORTACAO E COMERCIO LTDA.,125000,500000,
61194353000164,Itaú Corretora de Valores S/A,125000,500000,
49475833000106,Biolab Sanus Farmacêutica Ltda.,125000,500000,
77941490000155,Gazin Indústria e Comércio de Móveis e Eletrodomésticos Ltda.,125000,500000,
58119199000151,Odontoprev S/A,125000,500000,
7171562000147,Mineração Catalão de Goiás LTDA,125000,500000,
1069573000134,Renault do Brasil Comércio e participações Ltda,125000,500000,
33885724000119,Banco Itaú BMG Consignado S.A,125000,500000,
5541925000163,HONDA COMPONENTES DA AMAZONIA LIMITADA,125000,500000,
3215790000110,Banco Toyota do Brasil Ltda.,123875,495500,
22328877000149,"FS ENTERTAINMENT NGC474 TECNOLOGIA, PROMOCOES E INTERATIVIDADE LTDA.",123250,493000,
45989050000181,Rigesa Papel e Celulose,"123045,75",492183,
4463083000106,ITAUSEG SAUDE S/A. ,122500,490000,
2221155000183,Concessionária Ecovia Caminho do mar S/A,"122332,5",489330,
2150336000166,Águas de Níteroi S/A,122000,488000,
47658539000104,Banco Volkswagen S.A,121930,487720,
33014556000196,Lojas Americanas S.A,121250,485000,
2679185000138,Autovias S.A,"120638,5",482554,
42123091000100,Interprint Ltda.,"120047,9","480191,59",
58017179000170,Banco Volvo S/A,120000,480000,
48041735000190,Porto Seguro Administração de Consórcios S/C Ltda ,119150,476600,
13660104000174,Agiplan Financeira S/A,"118032,95","472131,79",
92682038001505,Bradesco Auto/Re Companhia de Seguros,"117522,4","470089,6",
87296026000107,Benoit Eletrodomésticos Ltda,117300,469200,
5869996000190,Akzo Nobel Pulp and Performance Quimica Bahia Ltda. ,"117011,5",468046,
15421859000141,BTG Pactual Resseguradora S/A,"116757,35","467029,41",
33127002000286,Cia. de Navegação Norsul,"116362,5",465450,
7133522000100,BTG PACTUAL EMPRESA OPERADORA DO MERCADO ENERGÉTICO LTDA,116250,465000,
61243119000180,Voith Paper Máquinas e Equipamentos Ltda,116250,465000,
10760260000119,CVC Brasil Operadora e agência de viagens S.A.,115000,460000,
57494031000163,Conpanhia Brasileira de Cartuchos,115000,460000,
43818418000113,Eka Chemicals do Brasil S.A.,"114609,25",458437,
60476884000187,Mahle Metal Leve S.A,"114064,94","456259,77",
2511048000190,Empresa Concessionária de Rodovias do Sul S/A - Ecosul,113250,453000,
